MENU,RESTO YANG MENYEDIAKAN MENU
Bakmie,"Mie Bandung Chinese Food, Ngampilan"
Mie ayam,"Mie Bandung Chinese Food, Ngampilan"
Mie bakso,"Mie Bandung Chinese Food, Ngampilan"
Mie pangsit,"Mie Bandung Chinese Food, Ngampilan"
Kwetiaw goreng,"Mie Bandung Chinese Food, Ngampilan"
Nasi Capcai,"Mie Bandung Chinese Food, Ngampilan"
Bakso,"Soto Tauco Pekalongan Bu Iswi, Jalan Bimokurdo No.46, Gondokusuman, Demangan"
Soto,"Soto Tauco Pekalongan Bu Iswi, Jalan Bimokurdo No.46, Gondokusuman, Demangan"
Cepat saji,"Soto Tauco Pekalongan Bu Iswi, Jalan Bimokurdo No.46, Gondokusuman, Demangan"
Minuman,"Soto Tauco Pekalongan Bu Iswi, Jalan Bimokurdo No.46, Gondokusuman, Demangan"
Bakso,"Spesial Bakso Pak Jum Balai Kota, Umbulharjo"
Soto,"Spesial Bakso Pak Jum Balai Kota, Umbulharjo"
Jajanan,"Spesial Bakso Pak Jum Balai Kota, Umbulharjo"
Minuman,"Spesial Bakso Pak Jum Balai Kota, Umbulharjo"
Bakso,Soto Ayam Kampung Dan Soto Daging Sapi Pak Ben
Soto,Soto Ayam Kampung Dan Soto Daging Sapi Pak Ben
Minuman,Soto Ayam Kampung Dan Soto Daging Sapi Pak Ben
Bakmie,Toba Tabo
Dimsum,Toba Tabo
Bebek Peking,Toba Tabo
Cow Mein,Toba Tabo
Wonton Soup,Toba Tabo
nasi hainan,Toba Tabo
Spring Rolls,Toba Tabo
Lo Mein,Toba Tabo
Congee,Toba Tabo
Bakpao,Toba Tabo
Lumpia,Toba Tabo
Capcay,Toba Tabo
Kwetiau,Toba Tabo
Fuyunghai,Toba Tabo
Sapo Tahu,Toba Tabo
 Bakmi,Toba Tabo
Ayam Kungpao,Toba Tabo
Angsio Tahu,Toba Tabo
Ayam Koloke,Toba Tabo
Siomay,Toba Tabo
I Fu Mie,Toba Tabo
nasi goreng seafood chinese,Toba Tabo
Cepat saji,"Sop Ayam Klaten, Mantrijeron"
Minuman,"Sop Ayam Klaten, Mantrijeron"
Bakso,"Sop Ayam Klaten, Mantrijeron"
Soto,"Sop Ayam Klaten, Mantrijeron"
Dimsum,"Legend Coffee, Yogyakarta"
Bebek Peking,"Legend Coffee, Yogyakarta"
Cow Mein,"Legend Coffee, Yogyakarta"
Wonton Soup,"Legend Coffee, Yogyakarta"
nasi hainan,"Legend Coffee, Yogyakarta"
Spring Rolls,"Legend Coffee, Yogyakarta"
Lo Mein,"Legend Coffee, Yogyakarta"
Congee,"Legend Coffee, Yogyakarta"
Bakpao,"Legend Coffee, Yogyakarta"
Lumpia,"Legend Coffee, Yogyakarta"
Capcay,"Legend Coffee, Yogyakarta"
Kwetiau,"Legend Coffee, Yogyakarta"
Fuyunghai,"Legend Coffee, Yogyakarta"
Sapo Tahu,"Legend Coffee, Yogyakarta"
 Bakmi,"Legend Coffee, Yogyakarta"
Ayam Kungpao,"Legend Coffee, Yogyakarta"
Angsio Tahu,"Legend Coffee, Yogyakarta"
Ayam Koloke,"Legend Coffee, Yogyakarta"
Siomay,"Legend Coffee, Yogyakarta"
I Fu Mie,"Legend Coffee, Yogyakarta"
nasi goreng seafood chinese,"Legend Coffee, Yogyakarta"
Chicken & duck,"Martabak Okonomiyaki BAMLY, Sonopakis"
Sushi,"Martabak Okonomiyaki BAMLY, Sonopakis"
Sashimi,"Martabak Okonomiyaki BAMLY, Sonopakis"
Tempura,"Martabak Okonomiyaki BAMLY, Sonopakis"
Ramen,"Martabak Okonomiyaki BAMLY, Sonopakis"
Udon,"Martabak Okonomiyaki BAMLY, Sonopakis"
Soba,"Martabak Okonomiyaki BAMLY, Sonopakis"
Okonomiyaki,"Martabak Okonomiyaki BAMLY, Sonopakis"
Takoyaki,"Martabak Okonomiyaki BAMLY, Sonopakis"
Tonkatsu,"Martabak Okonomiyaki BAMLY, Sonopakis"
Yakitori,"Martabak Okonomiyaki BAMLY, Sonopakis"
Gyoza,"Martabak Okonomiyaki BAMLY, Sonopakis"
Onigiri,"Martabak Okonomiyaki BAMLY, Sonopakis"
Miso Soup,"Martabak Okonomiyaki BAMLY, Sonopakis"
Nabe,"Martabak Okonomiyaki BAMLY, Sonopakis"
Shabu-Shabu,"Martabak Okonomiyaki BAMLY, Sonopakis"
Sukiyaki,"Martabak Okonomiyaki BAMLY, Sonopakis"
Teriyaki,"Martabak Okonomiyaki BAMLY, Sonopakis"
Unagi,"Martabak Okonomiyaki BAMLY, Sonopakis"
Tamagoyaki,"Martabak Okonomiyaki BAMLY, Sonopakis"
Mochi,"Martabak Okonomiyaki BAMLY, Sonopakis"
Martabak,"Martabak Okonomiyaki BAMLY, Sonopakis"
Dimsum,"Nasi Goreng Gemilang, Gedongkuning"
Bebek Peking,"Nasi Goreng Gemilang, Gedongkuning"
Cow Mein,"Nasi Goreng Gemilang, Gedongkuning"
Wonton Soup,"Nasi Goreng Gemilang, Gedongkuning"
nasi hainan,"Nasi Goreng Gemilang, Gedongkuning"
Spring Rolls,"Nasi Goreng Gemilang, Gedongkuning"
Lo Mein,"Nasi Goreng Gemilang, Gedongkuning"
Congee,"Nasi Goreng Gemilang, Gedongkuning"
Bakpao,"Nasi Goreng Gemilang, Gedongkuning"
Lumpia,"Nasi Goreng Gemilang, Gedongkuning"
Capcay,"Nasi Goreng Gemilang, Gedongkuning"
Kwetiau,"Nasi Goreng Gemilang, Gedongkuning"
Fuyunghai,"Nasi Goreng Gemilang, Gedongkuning"
Sapo Tahu,"Nasi Goreng Gemilang, Gedongkuning"
 Bakmi,"Nasi Goreng Gemilang, Gedongkuning"
Ayam Kungpao,"Nasi Goreng Gemilang, Gedongkuning"
Angsio Tahu,"Nasi Goreng Gemilang, Gedongkuning"
Ayam Koloke,"Nasi Goreng Gemilang, Gedongkuning"
Siomay,"Nasi Goreng Gemilang, Gedongkuning"
I Fu Mie,"Nasi Goreng Gemilang, Gedongkuning"
nasi goreng seafood chinese,"Nasi Goreng Gemilang, Gedongkuning"
Dimsum,"Restoran Mahkota (Tiong San), Pajeksan"
Bebek Peking,"Restoran Mahkota (Tiong San), Pajeksan"
Cow Mein,"Restoran Mahkota (Tiong San), Pajeksan"
Wonton Soup,"Restoran Mahkota (Tiong San), Pajeksan"
nasi hainan,"Restoran Mahkota (Tiong San), Pajeksan"
Spring Rolls,"Restoran Mahkota (Tiong San), Pajeksan"
Lo Mein,"Restoran Mahkota (Tiong San), Pajeksan"
Congee,"Restoran Mahkota (Tiong San), Pajeksan"
Bakpao,"Restoran Mahkota (Tiong San), Pajeksan"
Lumpia,"Restoran Mahkota (Tiong San), Pajeksan"
Capcay,"Restoran Mahkota (Tiong San), Pajeksan"
Kwetiau,"Restoran Mahkota (Tiong San), Pajeksan"
Fuyunghai,"Restoran Mahkota (Tiong San), Pajeksan"
Sapo Tahu,"Restoran Mahkota (Tiong San), Pajeksan"
 Bakmi,"Restoran Mahkota (Tiong San), Pajeksan"
Ayam Kungpao,"Restoran Mahkota (Tiong San), Pajeksan"
Angsio Tahu,"Restoran Mahkota (Tiong San), Pajeksan"
Ayam Koloke,"Restoran Mahkota (Tiong San), Pajeksan"
Siomay,"Restoran Mahkota (Tiong San), Pajeksan"
I Fu Mie,"Restoran Mahkota (Tiong San), Pajeksan"
nasi goreng seafood chinese,"Restoran Mahkota (Tiong San), Pajeksan"
Ayam & bebek,"Restoran Mahkota (Tiong San), Pajeksan"
Aneka nasi,"Restoran Mahkota (Tiong San), Pajeksan"
Bakmie,"Restoran Mahkota (Tiong San), Pajeksan"
Sushi,"Curryin, Perumnas"
Sashimi,"Curryin, Perumnas"
Tempura,"Curryin, Perumnas"
Ramen,"Curryin, Perumnas"
Udon,"Curryin, Perumnas"
Soba,"Curryin, Perumnas"
Okonomiyaki,"Curryin, Perumnas"
Takoyaki,"Curryin, Perumnas"
Tonkatsu,"Curryin, Perumnas"
Yakitori,"Curryin, Perumnas"
Gyoza,"Curryin, Perumnas"
Onigiri,"Curryin, Perumnas"
Miso Soup,"Curryin, Perumnas"
Nabe,"Curryin, Perumnas"
Shabu-Shabu,"Curryin, Perumnas"
Sukiyaki,"Curryin, Perumnas"
Teriyaki,"Curryin, Perumnas"
Unagi,"Curryin, Perumnas"
Tamagoyaki,"Curryin, Perumnas"
Mochi.,"Curryin, Perumnas"
Sushi,"Marugame Udon, Hartono Mall Jogja"
Sashimi,"Marugame Udon, Hartono Mall Jogja"
Tempura,"Marugame Udon, Hartono Mall Jogja"
Ramen,"Marugame Udon, Hartono Mall Jogja"
Udon,"Marugame Udon, Hartono Mall Jogja"
Soba,"Marugame Udon, Hartono Mall Jogja"
Okonomiyaki,"Marugame Udon, Hartono Mall Jogja"
Takoyaki,"Marugame Udon, Hartono Mall Jogja"
Tonkatsu,"Marugame Udon, Hartono Mall Jogja"
Yakitori,"Marugame Udon, Hartono Mall Jogja"
Gyoza,"Marugame Udon, Hartono Mall Jogja"
Onigiri,"Marugame Udon, Hartono Mall Jogja"
Miso Soup,"Marugame Udon, Hartono Mall Jogja"
Nabe,"Marugame Udon, Hartono Mall Jogja"
Shabu-Shabu,"Marugame Udon, Hartono Mall Jogja"
Sukiyaki,"Marugame Udon, Hartono Mall Jogja"
Teriyaki,"Marugame Udon, Hartono Mall Jogja"
Unagi,"Marugame Udon, Hartono Mall Jogja"
Tamagoyaki,"Marugame Udon, Hartono Mall Jogja"
Mochi.,"Marugame Udon, Hartono Mall Jogja"
Sushi,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo"
Sashimi,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo"
Tempura,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo"
Ramen,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo"
Udon,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo"
Soba,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo"
Okonomiyaki,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo"
Takoyaki,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo"
Tonkatsu,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo"
Yakitori,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo"
Gyoza,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo"
Onigiri,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo"
Miso Soup,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo"
Nabe,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo"
Shabu-Shabu,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo"
Sukiyaki,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo"
Teriyaki,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo"
Unagi,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo"
Tamagoyaki,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo"
Mochi.,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo"
Fast food,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo"
Chicken & duck,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo"
Rice,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo"
Sushi,"Sushi Battousai, Suryodiningratan"
Sashimi,"Sushi Battousai, Suryodiningratan"
Tempura,"Sushi Battousai, Suryodiningratan"
Ramen,"Sushi Battousai, Suryodiningratan"
Udon,"Sushi Battousai, Suryodiningratan"
Soba,"Sushi Battousai, Suryodiningratan"
Okonomiyaki,"Sushi Battousai, Suryodiningratan"
Takoyaki,"Sushi Battousai, Suryodiningratan"
Tonkatsu,"Sushi Battousai, Suryodiningratan"
Yakitori,"Sushi Battousai, Suryodiningratan"
Gyoza,"Sushi Battousai, Suryodiningratan"
Onigiri,"Sushi Battousai, Suryodiningratan"
Miso Soup,"Sushi Battousai, Suryodiningratan"
Nabe,"Sushi Battousai, Suryodiningratan"
Shabu-Shabu,"Sushi Battousai, Suryodiningratan"
Sukiyaki,"Sushi Battousai, Suryodiningratan"
